TractFIPS,variable,value,year
13121010001,ACCESS2_CrudePrev,12.0,2020
13121010002,ACCESS2_CrudePrev,9.6,2020
13121010114,ACCESS2_CrudePrev,18.7,2020
13121010211,ACCESS2_CrudePrev,14.2,2020
13121010303,ACCESS2_CrudePrev,17.2,2020
13121011800,ACCESS2_CrudePrev,26.1,2020
13121011900,ACCESS2_CrudePrev,23.7,2020
13121012000,ACCESS2_CrudePrev,33.1,2020
13089020100,ARTHRITIS_CrudePrev,15.6,2020
13089020200,ARTHRITIS_CrudePrev,14.9,2020
13089020300,ARTHRITIS_CrudePrev,14.6,2020
13089020400,ARTHRITIS_CrudePrev,12.2,2020
13089020500,ARTHRITIS_CrudePrev,19.9,2020
13089020600,ARTHRITIS_CrudePrev,16.2,2020
13089020700,ARTHRITIS_CrudePrev,16.9,2020
13089020801,ARTHRITIS_CrudePrev,17.0,2020
13089020802,ARTHRITIS_CrudePrev,20.9,2020
13089020900,ARTHRITIS_CrudePrev,18.6,2020
13089023700,ARTHRITIS_CrudePrev,21.3,2020
13121000100,ARTHRITIS_CrudePrev,15.9,2020
13121000200,ARTHRITIS_CrudePrev,14.6,2020
13121000400,ARTHRITIS_CrudePrev,16.4,2020
13121000500,ARTHRITIS_CrudePrev,12.2,2020
13121000600,ARTHRITIS_CrudePrev,7.5,2020
13121000700,ARTHRITIS_CrudePrev,12.1,2020
13121001001,ARTHRITIS_CrudePrev,6.5,2020
13121001002,ARTHRITIS_CrudePrev,4.0,2020
13121001100,ARTHRITIS_CrudePrev,11.9,2020
13121001201,ARTHRITIS_CrudePrev,11.4,2020
13121001202,ARTHRITIS_CrudePrev,8.8,2020
13121001300,ARTHRITIS_CrudePrev,11.7,2020
13121001400,ARTHRITIS_CrudePrev,10.3,2020
13121001500,ARTHRITIS_CrudePrev,12.8,2020
13121001600,ARTHRITIS_CrudePrev,9.2,2020
13121001700,ARTHRITIS_CrudePrev,12.5,2020
13121001800,ARTHRITIS_CrudePrev,17.9,2020
13121001900,ARTHRITIS_CrudePrev,10.3,2020
13121002100,ARTHRITIS_CrudePrev,19.6,2020
13121002300,ARTHRITIS_CrudePrev,28.7,2020
13121002400,ARTHRITIS_CrudePrev,27.7,2020
13121002500,ARTHRITIS_CrudePrev,21.2,2020
13121002600,ARTHRITIS_CrudePrev,21.1,2020
13121002800,ARTHRITIS_CrudePrev,10.4,2020
13121002900,ARTHRITIS_CrudePrev,14.0,2020
13121003000,ARTHRITIS_CrudePrev,11.3,2020
13121003100,ARTHRITIS_CrudePrev,14.0,2020
13121003200,ARTHRITIS_CrudePrev,9.8,2020
13121003500,ARTHRITIS_CrudePrev,17.0,2020
13121003600,ARTHRITIS_CrudePrev,18.9,2020
13121003800,ARTHRITIS_CrudePrev,5.7,2020
13121003900,ARTHRITIS_CrudePrev,25.9,2020
13121004000,ARTHRITIS_CrudePrev,27.5,2020
13121004100,ARTHRITIS_CrudePrev,23.0,2020
13121004200,ARTHRITIS_CrudePrev,28.3,2020
13121004300,ARTHRITIS_CrudePrev,9.4,2020
13121004400,ARTHRITIS_CrudePrev,21.5,2020
13121004800,ARTHRITIS_CrudePrev,23.7,2020
13121004900,ARTHRITIS_CrudePrev,15.8,2020
13121005000,ARTHRITIS_CrudePrev,14.0,2020
13121005200,ARTHRITIS_CrudePrev,12.7,2020
13121005300,ARTHRITIS_CrudePrev,12.4,2020
13121005501,ARTHRITIS_CrudePrev,19.8,2020
13121005502,ARTHRITIS_CrudePrev,23.5,2020
13121005700,ARTHRITIS_CrudePrev,25.3,2020
13121005800,ARTHRITIS_CrudePrev,22.5,2020
13121006000,ARTHRITIS_CrudePrev,25.5,2020
13121006100,ARTHRITIS_CrudePrev,29.4,2020
13121006200,ARTHRITIS_CrudePrev,23.4,2020
13121006300,ARTHRITIS_CrudePrev,25.2,2020
13121006400,ARTHRITIS_CrudePrev,19.4,2020
13121006500,ARTHRITIS_CrudePrev,24.8,2020
13121006601,ARTHRITIS_CrudePrev,23.6,2020
13121006602,ARTHRITIS_CrudePrev,27.9,2020
13121006700,ARTHRITIS_CrudePrev,24.2,2020
13121006801,ARTHRITIS_CrudePrev,13.9,2020
13121006802,ARTHRITIS_CrudePrev,23.3,2020
13121006900,ARTHRITIS_CrudePrev,16.1,2020
13121007001,ARTHRITIS_CrudePrev,27.1,2020
13121007002,ARTHRITIS_CrudePrev,20.6,2020
13121007100,ARTHRITIS_CrudePrev,27.9,2020
13121007200,ARTHRITIS_CrudePrev,26.0,2020
13121007300,ARTHRITIS_CrudePrev,25.2,2020
13121007400,ARTHRITIS_CrudePrev,28.7,2020
13121007500,ARTHRITIS_CrudePrev,27.4,2020
13121007602,ARTHRITIS_CrudePrev,27.8,2020
13121007603,ARTHRITIS_CrudePrev,31.9,2020
13121007604,ARTHRITIS_CrudePrev,24.4,2020
13121007703,ARTHRITIS_CrudePrev,26.2,2020
13121007704,ARTHRITIS_CrudePrev,23.1,2020
13121007705,ARTHRITIS_CrudePrev,29.2,2020
13121007706,ARTHRITIS_CrudePrev,20.7,2020
13121007802,ARTHRITIS_CrudePrev,24.2,2020
13121007805,ARTHRITIS_CrudePrev,24.7,2020
13121007806,ARTHRITIS_CrudePrev,25.5,2020
13121007807,ARTHRITIS_CrudePrev,27.3,2020
13121007808,ARTHRITIS_CrudePrev,25.9,2020
13121007900,ARTHRITIS_CrudePrev,25.9,2020
13121008000,ARTHRITIS_CrudePrev,28.1,2020
13121008101,ARTHRITIS_CrudePrev,31.4,2020
13121008102,ARTHRITIS_CrudePrev,28.3,2020
13121008201,ARTHRITIS_CrudePrev,30.0,2020
13121008202,ARTHRITIS_CrudePrev,29.1,2020
13121008301,ARTHRITIS_CrudePrev,29.7,2020
13121008302,ARTHRITIS_CrudePrev,30.4,2020
13121008400,ARTHRITIS_CrudePrev,27.4,2020
13121008500,ARTHRITIS_CrudePrev,28.1,2020
13121008601,ARTHRITIS_CrudePrev,27.6,2020
13121008602,ARTHRITIS_CrudePrev,22.4,2020
13121008700,ARTHRITIS_CrudePrev,23.7,2020
13121008800,ARTHRITIS_CrudePrev,12.7,2020
13121008902,ARTHRITIS_CrudePrev,9.0,2020
13121008903,ARTHRITIS_CrudePrev,10.7,2020
13121008904,ARTHRITIS_CrudePrev,13.3,2020
13121009000,ARTHRITIS_CrudePrev,12.4,2020
13121009101,ARTHRITIS_CrudePrev,12.9,2020
13121009102,ARTHRITIS_CrudePrev,14.2,2020
13121009200,ARTHRITIS_CrudePrev,12.1,2020
13121009300,ARTHRITIS_CrudePrev,15.6,2020
13121009402,ARTHRITIS_CrudePrev,6.7,2020
13121009403,ARTHRITIS_CrudePrev,12.3,2020
13121009404,ARTHRITIS_CrudePrev,14.2,2020
13121009501,ARTHRITIS_CrudePrev,22.9,2020
13121009502,ARTHRITIS_CrudePrev,22.7,2020
13121009601,ARTHRITIS_CrudePrev,10.4,2020
13121009602,ARTHRITIS_CrudePrev,18.4,2020
13121009603,ARTHRITIS_CrudePrev,13.8,2020
13121009700,ARTHRITIS_CrudePrev,20.9,2020
13121009801,ARTHRITIS_CrudePrev,23.9,2020
13121009802,ARTHRITIS_CrudePrev,19.4,2020
13121009900,ARTHRITIS_CrudePrev,16.6,2020
13121010001,ARTHRITIS_CrudePrev,16.7,2020
13121010002,ARTHRITIS_CrudePrev,17.8,2020
13121010114,ARTHRITIS_CrudePrev,15.9,2020
13121010211,ARTHRITIS_CrudePrev,15.6,2020
13121010303,ARTHRITIS_CrudePrev,20.5,2020
13121011800,ARTHRITIS_CrudePrev,13.8,2020
13121011900,ARTHRITIS_CrudePrev,14.7,2020
13121012000,ARTHRITIS_CrudePrev,24.4,2020
13089020100,BINGE_CrudePrev,21.6,2020
13089020200,BINGE_CrudePrev,22.4,2020
13089020300,BINGE_CrudePrev,22.5,2020
13089020400,BINGE_CrudePrev,24.2,2020
13089020500,BINGE_CrudePrev,17.7,2020
13089020600,BINGE_CrudePrev,18.9,2020
13089020700,BINGE_CrudePrev,18.8,2020
13089020801,BINGE_CrudePrev,20.0,2020
13089020802,BINGE_CrudePrev,16.4,2020
13089020900,BINGE_CrudePrev,19.1,2020
13089023700,BINGE_CrudePrev,15.1,2020
13121000100,BINGE_CrudePrev,23.4,2020
13121000200,BINGE_CrudePrev,24.5,2020
13121000400,BINGE_CrudePrev,22.6,2020
13121000500,BINGE_CrudePrev,23.9,2020
13121000600,BINGE_CrudePrev,23.4,2020
13121000700,BINGE_CrudePrev,24.5,2020
