TractFIPS,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
13089020100,10.1,15.6,21.6,21.8,70.0,6.0,7.1,3.6,75.9,89.8,72.3,3.4,40.7,38.6,8.7,81.7,6.6,27.2,1.8,11.2,82.3,8.7,20.8,6.9,29.3,1.7,4.3
13089020200,10.7,14.9,22.4,21.2,69.5,5.6,7.3,3.6,75.1,88.0,72.7,3.4,40.4,39.1,9.8,79.7,6.5,25.6,1.8,11.7,81.5,9.6,20.6,6.8,30.3,1.7,4.8
13089020300,10.5,14.6,22.5,20.6,66.4,5.2,7.5,3.2,74.7,88.9,70.0,3.4,38.3,37.0,10.9,79.4,6.3,25.4,1.7,11.9,82.0,10.0,22.3,7.3,31.6,1.6,5.2
13089020400,10.2,12.2,24.2,17.6,62.3,4.5,7.3,2.5,73.6,87.9,71.3,2.7,39.0,38.4,9.8,80.7,5.0,22.4,1.4,10.5,82.1,9.6,20.8,6.1,31.0,1.3,4.1
13089020500,20.8,19.9,17.7,32.8,76.0,5.6,9.5,5.5,78.3,86.7,66.7,5.8,27.7,27.0,17.5,62.4,13.3,27.3,3.2,22.5,82.6,13.5,30.0,11.6,39.0,3.9,17.0
13089020600,21.1,16.2,18.9,28.2,69.1,4.1,9.7,4.1,75.9,84.1,63.1,5.2,26.1,26.0,19.1,60.1,10.6,24.0,2.6,21.7,84.0,14.7,30.5,11.1,40.1,3.0,18.2
13089020700,16.5,16.9,18.8,29.5,73.0,5.0,9.0,4.2,77.8,86.9,68.2,4.5,29.7,29.3,14.6,68.5,10.6,25.7,2.6,17.8,83.9,12.1,27.8,9.4,37.4,2.9,12.4
13089020801,15.1,17.0,20.0,29.3,74.7,5.7,8.4,4.1,77.4,87.8,72.1,4.1,33.2,31.8,13.0,72.9,9.9,26.1,2.5,16.2,82.2,10.8,25.3,8.4,35.1,2.8,10.5
13089020802,19.2,20.9,16.4,34.8,76.8,5.8,9.7,5.6,79.8,88.1,67.0,5.9,28.4,27.8,16.6,63.7,13.9,28.6,3.3,22.1,83.5,13.1,30.9,11.9,39.2,3.9,15.6
13089020900,18.6,18.6,19.1,31.9,75.4,5.6,8.8,4.9,77.9,87.6,70.5,5.1,30.0,30.0,15.7,67.5,11.9,27.5,2.8,19.6,83.2,12.0,28.1,10.2,37.6,3.3,13.1
13089023700,24.2,21.3,15.1,37.8,76.4,5.2,10.8,5.8,81.2,87.4,65.0,6.7,25.6,26.4,19.8,56.8,15.6,28.5,3.5,26.3,83.1,15.3,34.4,13.5,43.4,4.4,19.8
13121000100,10.2,15.9,23.4,21.3,72.7,5.9,7.2,3.5,75.7,90.0,70.1,3.5,37.7,35.3,9.1,81.0,5.6,28.2,1.8,12.4,82.3,8.6,20.5,6.8,28.8,1.7,4.8
13121000200,10.8,14.6,24.5,20.8,71.3,5.4,7.0,3.4,74.7,89.0,69.4,3.2,36.7,33.9,9.0,80.2,5.3,27.0,1.7,12.1,82.7,8.6,20.5,6.5,29.2,1.6,4.9
13121000400,10.9,16.4,22.6,23.2,75.3,6.1,7.2,4.1,76.8,89.1,71.3,3.7,37.5,36.1,8.6,80.0,6.2,28.7,2.0,12.6,81.8,8.7,20.2,6.8,28.8,1.9,4.8
13121000500,13.3,12.2,23.9,18.7,67.3,4.1,7.5,2.9,74.7,86.2,68.3,3.0,35.6,33.7,9.5,76.2,5.0,22.7,1.6,13.1,82.4,10.1,20.4,6.4,31.6,1.5,5.7
13121000600,20.6,7.5,23.4,14.4,50.5,1.7,8.4,1.9,71.1,76.2,55.2,2.9,26.8,25.7,13.7,61.2,4.1,15.2,1.3,17.7,84.4,14.6,21.0,7.3,36.1,1.2,13.4
13121000700,30.9,12.1,24.5,28.0,63.3,2.7,8.8,3.6,73.8,81.2,53.4,4.8,24.2,25.2,21.9,52.4,8.3,22.7,2.1,24.3,80.4,14.6,30.5,10.4,42.7,2.6,20.2
13121001001,17.2,6.5,25.5,12.4,49.7,1.9,6.2,1.6,69.2,80.4,61.3,2.0,33.7,32.6,10.8,70.1,3.2,16.1,1.0,13.6,82.8,10.2,16.7,5.3,34.2,0.8,7.0
13121001002,22.0,4.0,27.5,9.4,27.6,0.8,8.7,1.1,68.7,67.9,53.0,2.6,23.6,21.9,13.1,61.6,2.1,9.9,0.9,16.1,82.9,17.8,16.3,6.3,34.7,0.7,19.0
13121001100,12.4,11.9,25.7,19.2,67.3,4.1,6.9,2.8,73.0,86.9,69.3,2.8,34.6,34.4,9.6,77.5,5.0,23.7,1.5,12.3,83.7,9.0,20.7,6.1,31.1,1.4,5.1
13121001201,14.3,11.4,26.4,18.6,66.0,4.0,7.2,2.8,72.4,85.0,68.4,2.9,33.8,32.2,10.4,75.5,4.8,22.2,1.6,12.9,81.0,9.8,20.2,6.2,31.1,1.5,7.2
13121001202,12.6,8.8,27.8,15.4,59.7,3.0,6.6,2.0,71.4,85.6,66.7,2.1,35.7,35.1,9.1,77.4,3.8,19.3,1.2,11.1,83.8,9.0,19.7,5.2,31.7,1.1,4.6
13121001300,16.0,11.7,25.7,19.0,64.2,3.6,7.7,2.9,72.2,84.2,64.3,3.3,32.2,28.9,12.6,71.4,5.1,22.0,1.6,14.8,82.5,11.1,22.5,7.1,33.0,1.6,9.3
13121001400,12.1,10.3,26.8,15.8,61.3,3.5,7.2,2.2,71.5,85.0,66.4,2.5,34.4,33.9,9.8,77.8,3.7,21.2,1.3,11.5,83.0,9.8,19.8,5.7,30.2,1.1,4.9
13121001500,14.2,12.8,25.6,20.3,68.3,4.1,7.5,3.1,72.6,84.8,66.3,3.4,33.0,32.9,11.6,74.2,5.4,24.3,1.7,14.1,82.1,10.7,22.0,7.0,31.7,1.6,7.1
13121001600,11.7,9.2,27.9,15.2,58.5,3.3,7.1,1.8,71.4,85.0,68.1,2.2,36.4,36.6,9.2,79.3,3.2,19.8,1.2,10.8,83.0,9.5,19.7,5.2,30.5,1.0,4.4
13121001700,14.8,12.5,21.7,24.1,70.6,3.8,8.5,2.7,77.8,87.2,67.3,2.8,29.8,29.0,9.9,73.5,6.6,22.1,1.9,14.7,85.3,10.2,25.0,6.7,35.3,1.9,8.0
13121001800,18.9,17.9,19.6,30.8,76.9,4.8,9.1,4.8,77.5,85.9,64.9,5.1,25.7,26.2,14.8,64.2,10.4,28.4,2.8,20.8,84.3,12.4,28.2,10.3,37.1,3.2,13.6
13121001900,20.5,10.3,24.3,20.6,65.0,2.4,8.7,2.8,73.6,78.7,60.8,3.6,24.4,26.4,14.0,64.1,6.5,20.0,1.7,17.9,83.9,14.4,23.4,8.2,37.3,1.9,12.9
