TractFIPS,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
13089020802,16.4,21.5,14.4,37.3,78.1,5.4,9.2,5.2,77.2,79.2,68.9,5.9,29.9,29.8,17.1,67.6,11.8,33.2,3.1,25.7,82.2,11.9,30.6,11.1,39.6,3.6,15.9
13121010114,15.4,17.0,18.2,26.7,70.2,5.4,7.8,4.4,71.4,77.4,66.1,4.7,36.2,37.6,14.0,70.0,6.9,30.4,2.3,20.3,81.4,10.4,22.1,9.0,33.3,2.2,11.4
13121005300,10.3,12.7,20.8,23.4,66.4,3.9,7.5,2.5,71.8,79.8,69.6,3.0,34.6,38.3,12.0,75.7,5.6,25.3,1.7,15.5,85.6,9.1,22.2,6.7,34.2,1.5,7.8
13121007604,29.8,24.4,10.3,46.7,75.6,4.0,12.6,6.5,78.6,66.0,48.6,9.7,17.4,22.0,28.2,38.2,17.7,36.4,4.3,42.2,84.6,19.0,41.5,18.6,48.5,5.9,36.4
13121007603,31.1,32.5,8.7,53.1,81.1,5.8,12.7,10.3,79.7,70.3,48.0,13.5,16.8,19.7,29.3,34.4,23.7,42.4,6.1,48.1,83.7,19.6,43.1,23.0,47.8,9.0,41.8
13121006400,27.2,18.5,14.4,38.0,71.5,3.7,10.1,4.8,74.9,68.7,55.3,6.3,21.3,25.8,22.4,50.3,12.4,32.5,3.1,32.8,84.6,14.9,34.7,13.6,44.2,3.6,24.2
13121008601,28.0,27.5,9.9,48.9,79.4,5.4,11.8,8.4,80.5,70.5,53.3,10.0,19.3,22.6,25.0,41.3,19.7,38.5,4.9,41.8,83.8,16.8,39.5,18.1,46.5,6.9,34.8
13121009300,8.7,15.2,20.9,22.1,69.6,5.5,7.1,3.4,71.1,82.6,72.0,3.4,40.3,43.5,10.5,79.2,5.3,28.0,1.8,14.2,82.6,8.5,18.7,6.7,29.9,1.6,6.0
13121002300,28.1,29.2,10.5,53.3,81.0,5.4,11.5,9.2,80.1,74.7,52.3,10.8,18.8,22.2,27.0,41.4,21.7,40.9,5.0,42.2,84.3,16.6,41.3,19.8,47.6,7.2,33.7
13121009404,9.5,14.6,19.8,23.3,70.7,5.3,7.1,3.4,71.9,80.2,70.9,3.2,40.0,42.0,10.0,78.5,5.5,28.0,1.8,14.8,82.5,8.4,18.0,6.5,30.6,1.6,6.5
13121007807,33.2,27.5,10.0,46.9,78.8,5.2,11.8,8.7,77.8,69.1,50.5,10.6,17.8,20.9,25.6,38.2,20.0,38.2,5.2,44.1,83.6,17.8,39.8,19.7,46.0,7.4,39.2
13121007808,34.4,26.1,9.6,46.0,75.7,4.3,12.9,7.8,77.4,64.3,44.6,11.1,15.9,17.7,29.7,33.0,19.0,36.6,5.1,46.9,84.5,20.7,42.3,20.9,48.7,7.2,45.3
13121007200,26.5,26.7,10.7,48.5,79.3,5.0,11.4,7.4,80.0,73.3,53.4,9.4,19.3,23.8,25.1,43.7,19.1,38.0,4.4,39.9,85.0,16.2,40.1,17.7,47.0,6.1,30.1
13121010303,13.3,24.5,12.0,46.9,83.1,6.5,9.1,5.8,84.0,85.7,70.8,5.3,27.5,35.4,12.9,68.4,15.2,36.3,3.4,24.6,86.6,9.3,31.5,10.6,40.3,4.0,11.6
13121007002,27.8,21.5,12.6,40.5,73.8,4.1,10.9,5.7,76.9,70.3,53.9,7.6,20.8,24.9,24.4,46.0,14.6,33.5,3.6,36.6,84.6,15.9,36.7,15.3,45.8,4.5,28.2
13121003100,17.1,14.9,19.0,27.1,69.4,3.7,8.7,3.6,70.9,72.6,63.3,4.6,26.1,30.2,17.5,62.9,8.2,26.5,2.3,22.8,85.5,12.3,25.7,9.5,37.6,2.5,16.8
13089020600,19.2,17.1,15.8,30.1,70.3,3.8,9.3,3.9,72.7,72.6,63.3,5.5,27.0,26.5,20.3,61.9,9.3,28.4,2.6,26.6,82.6,13.9,30.9,11.0,40.9,3.0,20.5
13121000500,9.5,11.9,21.4,20.9,65.8,4.1,7.0,2.7,71.4,77.0,70.9,2.8,40.4,43.1,10.0,78.4,4.7,25.4,1.5,13.7,83.5,8.4,18.2,5.9,31.6,1.3,5.8
13121000600,17.3,7.4,19.7,17.4,48.5,1.7,7.8,1.7,66.2,55.0,55.0,3.0,29.2,30.1,15.4,60.4,3.8,19.5,1.4,20.2,84.8,12.7,19.6,6.9,36.6,1.1,14.8
13121010001,8.5,16.7,19.3,24.9,73.2,6.3,6.9,3.8,73.5,85.0,72.9,3.5,41.8,44.2,9.5,80.7,6.0,30.2,1.9,14.5,82.7,7.8,18.5,6.8,29.8,1.7,5.6
13121008400,26.3,27.7,10.1,48.6,80.0,5.4,11.8,8.6,80.7,73.0,52.7,9.9,19.0,21.9,24.2,43.2,19.9,38.1,4.9,40.6,84.2,16.6,39.0,18.2,46.5,7.0,33.6
13121008000,21.5,28.8,10.6,51.3,82.8,6.4,10.8,8.0,82.5,80.1,61.8,8.6,22.5,28.0,20.2,53.1,19.2,39.4,4.4,35.4,84.4,13.3,36.6,15.7,44.2,6.0,23.8
13121006300,30.1,27.6,10.7,50.5,78.9,5.0,11.9,8.4,79.0,70.4,49.7,10.6,18.6,22.5,28.5,38.9,19.9,39.4,4.8,43.3,83.3,17.7,41.0,19.5,48.0,6.9,36.8
13121008602,19.3,22.0,12.5,43.3,77.6,4.8,10.3,5.2,80.0,76.4,62.6,6.2,23.4,28.9,19.4,56.4,14.0,33.9,3.3,30.5,86.2,13.1,35.1,12.7,44.4,4.1,19.4
13121006601,22.2,24.2,12.9,43.2,77.5,5.0,10.5,6.2,78.3,75.7,56.9,7.9,23.4,28.1,22.9,51.5,15.3,35.7,3.6,34.2,84.6,14.8,36.0,15.2,44.7,4.6,23.6
13121001900,16.5,10.2,21.0,22.4,63.1,2.3,8.0,2.7,69.6,62.7,61.5,3.6,27.0,32.2,15.7,64.2,6.3,23.4,1.7,20.1,84.8,12.2,22.4,7.7,37.3,1.7,13.7
