TractFIPS,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
13121005501,25.2,20.0,15.6,35.3,71.1,4.1,10.8,4.9,77.6,86.7,55.6,6.3,19.2,21.1,21.0,50.0,12.7,25.7,3.3,31.1,84.1,19.6,37.1,14.6,43.7,3.9,23.5
13121001202,12.6,10.0,25.4,16.9,55.1,3.1,6.7,1.9,70.3,86.7,66.7,2.1,35.7,35.1,9.7,77.4,4.0,20.0,1.3,13.5,83.8,11.9,22.1,6.1,31.7,1.1,4.6
13121009403,18.4,13.5,20.4,21.5,63.1,4.2,8.0,3.2,72.9,85.6,65.1,3.5,32.4,28.5,12.4,69.3,6.0,21.7,1.9,19.7,81.2,14.8,24.0,8.5,33.7,1.9,9.8
13121008800,16.0,14.5,22.2,21.9,63.0,4.2,7.9,2.8,72.5,87.4,67.7,3.4,32.9,32.3,13.6,74.0,6.0,23.5,1.8,17.8,83.2,13.8,26.6,8.6,33.7,1.8,8.1
13121009101,13.6,14.7,21.3,20.9,64.9,4.5,7.9,3.0,73.0,87.4,69.3,3.3,34.5,33.0,11.0,75.8,5.6,23.3,1.8,16.4,82.2,13.8,24.1,8.1,31.0,1.7,6.6
13121007400,38.4,30.0,11.4,48.4,79.1,5.8,12.2,10.3,79.0,85.9,51.0,12.7,17.1,17.9,28.7,39.1,23.0,33.6,5.9,46.2,81.4,23.4,44.2,24.3,45.3,7.8,36.1
13121009900,9.2,18.7,19.9,23.7,71.9,6.8,7.1,3.9,76.3,91.5,71.5,3.4,38.8,37.0,8.2,82.5,6.1,29.6,2.0,13.5,81.8,10.6,22.2,7.7,27.8,1.8,4.1
13121008400,30.4,28.1,11.7,47.4,79.1,5.7,12.3,9.0,81.8,88.1,53.3,10.3,18.0,18.1,24.3,43.7,20.8,31.6,5.4,40.4,83.0,21.7,42.2,20.6,45.7,7.1,32.5
13089020900,19.0,19.7,20.1,33.0,74.3,5.5,8.7,4.5,73.9,88.5,70.5,4.9,30.0,30.0,14.5,67.5,10.8,28.0,2.8,22.9,83.2,13.7,31.3,10.5,37.6,3.3,13.1
13121007806,24.0,26.9,12.8,44.7,79.6,6.2,10.9,6.6,83.4,91.0,63.3,7.5,23.1,24.0,18.8,57.0,17.8,31.6,4.4,32.4,83.7,17.0,39.0,15.8,43.3,5.6,19.2
