TractFIPS,interDen,sidewalkDen,stopDen,aadt_sum_2017,aadt_avg_2017,ht_ami_2017,h_ami_2017,t_ami_2017,co2_hh_2017,autos_hh_ami_2017,vmt_hh_ami_2017,transit_trips_ami_2017,inter_ct,blk_avg_sqmi,sidewalk_sum_ft,stop_ct,area_sqmi
13121007300,17.21892873,0.16247952,17.21892873,403690,26912.66667,37,18,20,6.84,1.56,18670,138,184,0.06539739,2540.951982,51,2.961856734
13121007806,36.14957417,0,36.14957417,24830,6207.5,40,19,21,7.31,1.67,20119,142,142,0.07980393,0,70,1.93639902
13121008000,33.29275146,0,33.29275146,23270,3878.333333,49,26,22,8.01,1.77,20031,221,172,0.05390011,0,76,2.282779184
13121008400,64.0928961,5.439056141,64.0928961,11820,2364,34,16,19,3.52,1.46,16280,440,76,0.01797272,19715.1509,44,0.686503539
13121008602,17.20983491,0.555273257,17.20983491,373070,31089.16667,40,19,21,7.08,1.7,19725,139,60,0.16819108,5281.113856,31,1.801295606
13121009000,13.01197107,2.442488745,13.01197107,547100,45591.66667,46,32,21,8.01,1.69,18518,161,120,0.02585129,15857.8114,16,1.229636918
13121009300,7.406413161,0.173923152,7.406413161,55520,18506.66667,68,48,20,6.42,1.57,16887,392,104,0.01865124,867.9231747,7,0.945126858
13121009402,38.09110858,2.740790056,38.09110858,590900,34758.82353,43,27,16,5.34,1.16,12668,850,42,0.03597245,7598.291256,20,0.525056916
13121002400,38.30645419,7.637336937,38.30645419,15640,7820,40,20,20,6.34,1.56,17033,353,108,0.01007717,21053.95917,20,0.522105228
13121008601,38.99583305,2.303539414,38.99583305,42960,8592,37,17,20,6.26,1.6,18350,178,220,0.01622422,21208.99752,68,1.743776057
13121002500,62.35938645,10.68797108,62.35938645,7480,3740,37,20,17,5.37,1.32,14645,454,86,0.00430289,19004.06534,21,0.336757643
13121002600,27.08339856,16.82339376,27.08339856,30900,15450,35,19,15,4.72,1.18,12316,549,66,0.00649312,32797.76371,10,0.36922988
13121004400,65.88370575,9.365677611,65.88370575,222950,24772.22222,30,15,15,4.53,1.15,12702,601,74,0.00796033,15762.10672,21,0.318743455
13121007400,33.40893873,0.073322935,33.40893873,589100,32727.77778,33,14,18,5.17,1.44,16933,250,68,0.01621375,347.6419663,30,0.897963274
13121008201,39.63850923,0.069241723,39.63850923,377000,25133.33333,44,23,21,6.43,1.68,19471,228,170,0.02982732,756.3071183,82,2.068695357
13121008202,19.89534993,0.03770242,19.89534993,66680,9525.714286,43,22,21,7.14,1.7,20114,115,68,0.03837865,540.3127168,54,2.714202072
13121010303,3.402610601,0,3.402610601,213980,11887.77778,55,33,23,9.41,1.81,22735,60,462,0.15766423,0,46,13.51903153
13089023700,20.06435191,0.034133241,20.06435191,195990,17817.27273,44,23,21,7.03,1.66,18772,136,134,0,332.3440461,37,1.84406654
13121006700,56.17419757,0.291707821,56.17419757,380600,34600,38,18,20,5.76,1.58,17975,233,204,0.01067366,2028.975015,74,1.317330789
13121006900,31.23656209,3.593644501,31.23656209,14850,4950,49,28,21,8.2,1.68,19244,171,120,0.0137691,23082.84119,38,1.216523121
13121007002,28.37694052,0,28.37694052,20360,2908.571429,41,20,21,1.87,1.64,19311,182,90,0.05463375,0,48,1.691514276
13121007100,52.26113393,1.121938527,52.26113393,34960,17480,40,19,21,7.73,1.68,19883,128,92,0.04312873,5667.532524,50,0.956733929
13121008302,45.21080318,0.971386721,45.21080318,11570,3856.666667,41,20,21,6.82,1.64,18247,366,74,0.01635903,3743.670897,33,0.72991404
