housing_total,housing_pc_vacant,housing_pc_owneroccupied,housing_pc_renteroccupied,housing_medval,housing_medgrossrent,housing_pc_renttoinc_3034,housing_pc_renttoinc_over35,TractFIPS
1469.0,6.8,65.9,34.1,123900.0,1098.0,5.4,35.8,13089023212
1587.0,17.8,38.6,61.4,104700.0,1048.0,11.4,57.8,13089023504
1083.0,24.1,63.9,36.1,106200.0,1168.0,9.2,51.6,13089023602
803.0,8.2,74.6,25.4,697700.0,2335.0,4.4,27.9,13089020100
1857.0,7.4,14.6,85.4,229100.0,1313.0,11.3,47.7,13089021301
2584.0,3.2,84.9,15.1,150200.0,1390.0,14.2,52.7,13089023306
3135.0,9.4,61.7,38.3,105500.0,1130.0,11.3,58.0,13089023206
1576.0,6.1,50.7,49.3,88600.0,955.0,4.9,54.5,13089023411
1443.0,8.0,85.8,14.2,125400.0,1319.0,0.0,31.7,13089023413
1569.0,13.6,37.5,62.5,168800.0,1117.0,3.9,59.3,13089023802
2080.0,6.6,59.8,40.2,300500.0,1461.0,11.0,27.9,13089021208
