pop_total,medhhinc_all,state,county,TractFIPS
3483.0,73429.0,13,121,13121006900
2651.0,45451.0,13,121,13121007002
2751.0,25489.0,13,121,13121007100
1917.0,28318.0,13,121,13121008302
7359.0,71482.0,13,121,13121009200
5403.0,171875.0,13,121,13121010204
5401.0,61575.0,13,121,13121010209
8551.0,50980.0,13,121,13121010400
4617.0,66490.0,13,121,13121001500
1268.0,26683.0,13,121,13121002300
5919.0,124358.0,13,121,13121011419
8235.0,48988.0,13,121,13121011420
4280.0,50326.0,13,121,13121011421
3795.0,70833.0,13,121,13121011422
4774.0,128085.0,13,121,13121011423
5748.0,95410.0,13,121,13121011424
7236.0,162672.0,13,121,13121011425
2465.0,126375.0,13,121,13121011426
7950.0,126452.0,13,121,13121011427
11325.0,168750.0,13,121,13121011503
13727.0,236149.0,13,121,13121011504
4377.0,166938.0,13,121,13121011505
5969.0,165266.0,13,121,13121011506
5918.0,114464.0,13,121,13121011610
8707.0,68620.0,13,121,13121011611
3376.0,150901.0,13,121,13121011612
7137.0,110066.0,13,121,13121011613
15411.0,74184.0,13,121,13121011614
10672.0,161263.0,13,121,13121011615
6372.0,104176.0,13,121,13121011616
7891.0,144125.0,13,121,13121011617
4599.0,122857.0,13,121,13121011618
7869.0,93750.0,13,121,13121011619
10206.0,141513.0,13,121,13121011620
6962.0,157692.0,13,121,13121011621
11005.0,149583.0,13,121,13121011622
12517.0,121389.0,13,121,13121011623
4138.0,196016.0,13,121,13121011624
8542.0,122361.0,13,121,13121011625
9546.0,102699.0,13,121,13121011626
1867.0,30972.0,13,121,13121011800
3517.0,25699.0,13,121,13121011900
3311.0,27188.0,13,121,13121012000
8399.0,56719.0,13,121,13121010511
13374.0,66144.0,13,121,13121010514
5106.0,50893.0,13,121,13121011301
6745.0,117157.0,13,121,13121011410
7659.0,85114.0,13,121,13121011411
7683.0,80389.0,13,121,13121011414
2235.0,14375.0,13,121,13121006802
1725.0,37500.0,13,121,13121006200
3843.0,50163.0,13,121,13121006500
7148.0,42517.0,13,089,13089023213
6165.0,48150.0,13,089,13089023214
2240.0,-666666666.0,13,089,13089023115
5045.0,82019.0,13,089,13089023311
10571.0,72651.0,13,089,13089023312
5294.0,55143.0,13,089,13089023313
6061.0,53858.0,13,089,13089023314
4411.0,73981.0,13,089,13089020802
4713.0,149306.0,13,089,13089021703
5133.0,85543.0,13,089,13089021808
5443.0,36250.0,13,089,13089021908
7168.0,37269.0,13,089,13089021909
