race_pc_white,race_pc_black,race_pc_asian,race_pc_hispanic,pov_total,snaphh_total,medicaid_pc_covered,TractFIPS
1.2,94.3,0.3,2.9,2196.0,3405.0,26.3,13089023421
72.2,23.3,1.0,3.6,221.0,1958.0,6.4,13121010106
4.7,92.6,0.0,0.0,659.0,981.0,40.2,13121008500
60.3,34.0,4.4,5.5,1190.0,4392.0,1.6,13121008902
96.3,0.4,1.2,2.0,204.0,2130.0,1.1,13121009900
90.6,3.8,2.7,5.5,321.0,2652.0,8.6,13121010205
71.8,20.2,4.5,17.4,130.0,2043.0,7.7,13121010208
6.5,91.7,0.0,1.8,1128.0,6495.0,13.5,13121010301
6.0,90.0,2.0,3.2,1632.0,2416.0,35.4,13121010507
89.6,2.4,2.8,5.8,335.0,2696.0,1.6,13121000200
41.9,33.5,18.5,5.4,627.0,1400.0,5.0,13121001900
50.0,39.2,6.4,3.6,353.0,1248.0,12.0,13121002900
80.1,9.4,5.0,3.2,161.0,1837.0,1.7,13121003000
14.9,77.4,5.1,1.9,358.0,606.0,10.5,13121004300
20.3,71.5,3.9,2.7,389.0,576.0,31.0,13121005800
8.1,88.8,0.5,5.5,375.0,969.0,24.4,13089023427
3.2,91.6,0.0,5.5,170.0,2693.0,16.2,13089023423
6.6,92.3,0.0,4.2,713.0,1977.0,27.5,13089023425
2.3,92.9,0.2,1.7,357.0,1615.0,28.0,13089023426
1.4,95.8,0.8,1.7,2181.0,3806.0,31.7,13089023428
-666666666.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,-666666666.0,13089980000
2.0,97.2,0.0,2.6,1069.0,1884.0,28.8,13089023422
6.5,92.4,0.0,5.2,975.0,1755.0,17.2,13089023424
5.7,93.3,0.0,3.5,755.0,883.0,29.2,13121008301
4.0,90.7,0.0,2.5,1892.0,2891.0,30.1,13121007300
2.5,96.9,0.2,0.2,1090.0,2412.0,22.6,13121007806
4.3,93.8,0.0,0.7,1251.0,1941.0,36.8,13121008000
10.8,86.6,0.6,1.5,1008.0,1187.0,38.2,13121008400
7.3,89.5,0.0,0.8,280.0,602.0,30.2,13121008602
82.4,8.1,8.7,3.3,171.0,2249.0,2.3,13121009000
93.6,3.9,1.5,11.2,839.0,2517.0,1.9,13121009300
49.8,20.0,24.3,8.9,956.0,2884.0,1.7,13121009402
94.3,2.4,1.2,1.2,38.0,742.0,3.0,13121010107
5.0,93.9,0.0,0.8,689.0,5166.0,6.9,13121010304
1.1,92.6,0.0,3.3,1020.0,1517.0,47.9,13121010603
0.0,100.0,0.0,0.0,69.0,164.0,43.9,13121003700
5.4,93.6,0.0,0.7,990.0,986.0,32.4,13121002400
86.2,2.6,7.4,1.6,55.0,2181.0,1.7,13089021214
72.5,11.6,11.1,8.6,857.0,3492.0,8.0,13089021209
6.2,93.3,0.3,0.3,1376.0,6723.0,20.0,13089023418
6.9,84.1,4.4,3.6,1462.0,2650.0,31.8,13089023303
73.5,15.3,5.4,4.8,332.0,2418.0,6.7,13089021502
69.6,23.1,3.2,4.4,1162.0,2662.0,14.1,13089022500
0.8,98.3,0.0,1.1,2028.0,1712.0,40.2,13121008601
6.4,88.6,1.3,2.2,1280.0,1050.0,36.7,13121002500
1.1,94.7,1.3,1.6,565.0,584.0,41.4,13121002600
5.1,89.3,0.0,2.1,1787.0,1304.0,56.9,13121004400
8.8,83.2,0.4,9.8,1488.0,1246.0,50.5,13121007400
0.5,98.9,0.0,0.2,1362.0,2591.0,34.8,13121008201
3.1,96.6,0.0,1.5,926.0,768.0,28.4,13121008202
78.1,7.5,11.4,1.6,128.0,1620.0,1.7,13121010108
71.4,16.1,9.6,17.8,601.0,3909.0,9.0,13121010110
0.0,99.3,0.1,0.1,1257.0,4104.0,18.1,13121010303
68.2,18.5,8.6,7.8,485.0,2511.0,9.2,13089021603
45.8,44.0,2.7,18.0,633.0,2517.0,12.8,13089021806
70.7,12.3,9.0,1.0,512.0,2052.0,7.5,13089022302
50.4,21.2,23.6,7.6,824.0,1103.0,2.1,13089022402
69.3,20.7,2.6,4.1,260.0,1308.0,3.6,13089022800
5.5,92.3,0.8,1.5,963.0,1849.0,21.0,13089023209
1.7,91.4,0.9,2.6,276.0,1379.0,20.8,13089023211
2.4,94.8,0.0,1.4,1569.0,3768.0,22.7,13089023309
1.4,94.7,0.3,1.3,2441.0,4101.0,27.6,13089023310
6.2,91.7,1.8,4.4,248.0,2408.0,12.6,13089023414
32.9,64.5,1.8,0.3,776.0,1171.0,20.0,13089023601
76.7,11.2,7.5,10.6,305.0,2687.0,5.5,13089021809
14.8,77.4,5.1,4.6,803.0,1875.0,30.1,13089021906
14.0,73.9,9.5,0.6,1404.0,1751.0,31.3,13089022005
67.7,17.0,5.9,3.2,308.0,2970.0,0.9,13089022600
21.4,71.0,0.7,7.8,673.0,1661.0,23.2,13089023107
5.0,93.4,0.0,0.4,990.0,1290.0,32.2,13089023501
9.1,87.6,0.0,0.0,654.0,1456.0,29.4,13089023603
15.1,78.7,0.4,1.7,1346.0,2451.0,31.4,13089023700
35.3,57.2,1.1,3.7,481.0,1749.0,11.8,13089023801
4.0,94.7,0.8,0.3,2846.0,2694.0,33.7,13089023210
5.3,92.3,0.4,1.4,1621.0,1644.0,35.6,13121006700
49.2,46.5,1.6,13.0,701.0,1384.0,17.3,13121006900
2.1,95.7,0.9,3.9,566.0,969.0,29.0,13121007002
9.4,90.0,0.0,4.6,871.0,891.0,50.0,13121007100
0.8,98.7,0.0,0.4,643.0,784.0,34.6,13121008302
65.8,24.4,6.0,18.7,1027.0,3820.0,5.4,13121009200
94.4,1.6,1.6,1.8,133.0,1872.0,1.6,13121010204
49.5,42.2,3.2,11.0,274.0,2842.0,3.9,13121010209
43.4,50.6,2.1,8.8,1298.0,3220.0,18.5,13121010400
82.9,11.3,3.2,6.2,536.0,2405.0,8.8,13121001500
5.5,91.9,0.0,0.6,437.0,525.0,40.5,13121002300
83.1,9.2,4.1,6.1,418.0,2427.0,3.6,13121011419
60.6,17.7,1.7,62.3,2186.0,2319.0,26.2,13121011420
58.4,23.1,7.3,33.9,1108.0,1616.0,23.6,13121011421
74.8,12.2,6.2,7.1,300.0,1602.0,3.6,13121011422
89.1,5.6,1.9,4.8,273.0,1734.0,2.8,13121011423
65.0,21.2,12.1,4.9,71.0,2078.0,3.4,13121011424
68.2,10.5,20.1,5.2,138.0,2331.0,6.1,13121011425
79.0,4.8,9.7,20.2,114.0,771.0,7.5,13121011426
77.4,6.8,9.3,12.0,543.0,2904.0,5.6,13121011427
78.8,7.5,8.9,3.6,155.0,3596.0,2.6,13121011503
93.0,3.2,3.7,3.0,299.0,4346.0,1.8,13121011504
85.5,9.7,3.6,5.7,125.0,1294.0,4.3,13121011505
