,13121008500,Center Hill,Grove Park,Historic Westin Heights/Bankhead,Knight Park/Howell Station,cityAVG
interDen,41.25761905,45.05481763977878,42.03180785558688,43.29125011745066,36.35873370387258,35.706094823928126
sidewalkDen,4.406386546,2.1121880968180475,3.5839940970566904,10.161629425700802,8.165754177475266,9.189254965105503
stopDen,41.25761905,45.05481763977878,42.03180785558688,43.29125011745066,36.35873370387258,35.706094823928126
aadt_sum_2017,22210.0,29135.331075856666,22043.352877455247,21026.829800304222,54397.66584551797,199743.09865411272
aadt_avg_2017,5552.5,5808.061126896024,4823.991785122467,6291.984618979552,12716.590497205534,19425.503517546756
ht_ami_2017,42.0,38.28104919858334,40.15792744721655,39.768165826626145,52.19196457344709,48.479417066413895
h_ami_2017,21.0,18.28065908954402,19.851434324300115,20.448970600371485,30.147741716082805,29.177896275261414
t_ami_2017,21.0,20.000390109039323,20.520151326724697,19.525445802108752,22.014594813702523,19.46114734560569
co2_hh_2017,7.06,6.281435873620201,6.582288997663146,5.411835159562196,7.223475990643186,6.346651403891116
autos_hh_ami_2017,1.69,1.5915084881668746,1.6347822070708777,1.5518134047014398,1.7423881782348107,1.5241827606652694
vmt_hh_ami_2017,18753.0,18015.020475889116,18304.266372822465,16837.397201796506,18549.253357495803,17341.47217699796
transit_trips_ami_2017,250.0,246.2076349195533,266.1830717829546,342.66126510790184,261.41863864387227,343.28659248785885
inter_ct,164.0,171.38090619557872,152.31827962861334,105.8045604182444,88.17802720413158,126.435518574117
blk_avg_sqmi,0.02425826,0.020360617647756308,0.032068167188216125,0.012679600194892837,0.01139199278134287,0.03873346285412581
sidewalk_sum_ft,33270.87527,16401.29191076808,26907.758428226436,31136.005840468548,29548.41305663567,25068.803193778047
stop_ct,59.0,62.03373000853986,59.88924040550265,31.378934816797006,26.06398095748413,35.124768728298136
area_sqmi,1.430038896,1.4331465942787447,1.5624217388978794,0.7148709941894894,0.787425212439833,1.6850025389828782
